energies,resolution
794.3282347242813,0.26652185596389105
930.0761727886355,0.31434048041599816
1089.0229622637294,0.36966039522765737
1275.1332063284533,0.38764520861899393
1493.0490450831462,0.41629476122813963
1748.205944257631,0.45269911958345366
2046.96827180752,0.47558429249602857
2396.788044080224,0.5128911465486533
2806.3908011496897,0.5203045371677982
3285.9932476006543,0.5329124034588025
3847.5580873674458,0.5247316417728064
4505.092408962165,0.5488187925462942
5274.99706370262,0.5665602951829628
6176.475751466637,0.597464155176155
7232.014017781834,0.6134042636520193
8467.9401098553,0.6059130642806969
9915.081680951906,0.605244038680956
11609.534723271463,0.6264157831954744
13593.563908785241,0.6178204021188209
15916.656795196554,0.6670842717825569
18636.75819204029,0.6642040727908051
21821.71547566444,0.6512117521071815
25550.97090352507,0.6294455974120571
29917.5431391196,0.6693122685026682
35030.34741265335,0.6408583953172999
41016.91218911042,0.6415949214620499
48026.56010546715,0.6138286540094734
56234.13251903491,0.6014583169372053
65844.3505681847,0.6209866338876685
77096.92152321334,0.6325720924230271
90272.51779484579,0.597936342246058
105699.7777345375,0.6001809765651099
123763.50284724814,0.6165418830623076
144914.25587942198,0.6279372984822442
169679.59918688968,0.6188119972508623
198677.25370083464,0.6452167032541964
232630.50671536286,0.6501005756410975
272386.25281248806,0.6559770921752838
318936.11791857425,0.6781107821757645
373441.193388698,0.6643817681883069
437260.9970601657,0.6884187163218335
511987.38364956365,0.7055169885097172
599484.2503189408,0.69441427604468
701934.0277854303,0.683930214376181
821892.1166001295,0.7021882902695723
962350.6263980888,0.7119955562169344
1126813.0079648555,0.7581057717146213
1319381.4396641462,0.7721659504774863
1544859.147902673,0.7510652194392916
1808870.2138072362,0.7644262845778087
2117999.854447029,0.8017649463474275
2479958.677629971,0.8277032046855104
2903775.0072735064,0.8292767487416687
3400020.076513693,0.828615912481407
3981071.7055349695,0.8249702492901939
