energy,this_work_20p,this_work_50p,this_work_80p,this_work_contained_20p,this_work_contained_50p,this_work_contained_80p,prev_work_20p,prev_work_50p,prev_work_80p
905.7989315662745,8.289,17.666999999999998,36.440999999999995,8.091,17.288999999999998,35.864999999999995,20.439,42.309,85.67099999999999
1033.662761318576,8.145,17.433,36.117,7.928999999999999,16.965,35.253,18.656999999999996,39.015,81.11699999999999
1179.576026093566,8.001,17.090999999999998,35.504999999999995,7.748999999999999,16.587,34.443,17.180999999999997,36.584999999999994,77.067
1346.086609098478,7.838999999999999,16.712999999999997,34.803,7.587,16.154999999999998,33.705,16.532999999999998,34.208999999999996,72.693
1536.1020562573815,7.677,16.389,34.137,7.424999999999999,15.831,32.967,15.309,32.193,68.823
1752.9403466976519,7.5329999999999995,15.938999999999998,33.489,7.280999999999999,15.363,32.120999999999995,14.337,30.464999999999996,65.31299999999999
2000.3878300685144,7.353,15.543,32.967,7.136999999999999,14.876999999999999,31.418999999999997,13.472999999999999,28.628999999999998,61.388999999999996
2282.765342371579,7.154999999999999,15.038999999999998,32.138999999999996,6.902999999999999,14.390999999999998,30.410999999999998,12.735,27.189,57.735
2605.0036547934574,6.902999999999999,14.570999999999998,31.113,6.615,13.905,29.078999999999997,12.158999999999999,25.514999999999997,54.206999999999994
2972.729572999912,6.632999999999999,14.210999999999999,30.500999999999998,6.3629999999999995,13.418999999999999,28.269,11.619,24.128999999999998,51.291
3392.3641903254484,6.452999999999999,13.814999999999998,29.799,6.129,13.004999999999999,27.638999999999996,11.043,23.084999999999997,48.248999999999995
3871.235010519,6.237,13.347,28.863,5.895,12.572999999999999,26.685,10.466999999999999,21.825,46.376999999999995
4417.703897891426,6.039,12.950999999999999,28.287,5.733,12.158999999999999,25.929,9.890999999999998,20.834999999999997,44.721
5041.313089082823,5.859,12.518999999999998,27.656999999999996,5.552999999999999,11.727,25.244999999999997,9.422999999999998,19.935,42.921
5752.951816052748,5.642999999999999,12.123,26.991,5.391,11.349,24.363,8.972999999999999,19.052999999999997,41.102999999999994
6565.046449802206,5.481,11.780999999999999,26.487,5.211,10.899,23.480999999999998,8.559,17.991,39.483
7491.777485046372,5.318999999999999,11.439,25.641,5.013,10.556999999999999,22.778999999999996,8.216999999999999,17.127,37.538999999999994
8549.327154743689,5.1209999999999996,11.151,24.993,4.833,10.178999999999998,22.076999999999998,7.856999999999999,16.244999999999997,35.864999999999995
9756.161998234435,4.994999999999999,10.826999999999998,24.363,4.689,9.927,21.375,7.497,15.488999999999999,34.101
11133.355317088397,4.850999999999999,10.520999999999999,23.805,4.545,9.603,20.726999999999997,7.190999999999999,14.786999999999999,32.427
12704.955149265887,4.743,10.323,23.211,4.436999999999999,9.422999999999998,20.043,6.849,14.066999999999998,30.464999999999996
14498.404187020147,4.653,10.142999999999999,22.778999999999996,4.329,9.171,19.592999999999996,6.5969999999999995,13.508999999999999,29.025
16545.018970991732,4.545,9.908999999999999,22.256999999999998,4.221,8.937,18.962999999999997,6.344999999999999,12.950999999999999,27.621
18880.536728003684,4.419,9.747,22.040999999999997,4.041,8.721,18.512999999999998,6.129,12.447,26.235
21545.739401236126,4.329,9.620999999999999,21.860999999999997,3.9509999999999996,8.504999999999999,17.973,5.949,11.979,24.956999999999997
24587.165769363375,4.202999999999999,9.332999999999998,21.519,3.8249999999999997,8.163,17.433,5.769,11.636999999999999,24.075
28057.92408941279,4.077,9.135,21.069,3.6809999999999996,7.982999999999999,16.839,5.552999999999999,11.222999999999999,23.084999999999997
32018.61945341388,4.023,8.991,20.726999999999997,3.627,7.802999999999999,16.371,5.391,10.863,22.220999999999997
36538.41205199405,3.9869999999999997,8.793,20.474999999999998,3.5549999999999997,7.587,16.083,5.193,10.485,21.500999999999998
41696.224823926925,3.8789999999999996,8.613,20.133,3.465,7.443,15.812999999999999,5.031,10.161,20.726999999999997
47582.121579160885,3.8609999999999998,8.576999999999998,20.096999999999998,3.465,7.370999999999999,15.506999999999998,4.850999999999999,9.818999999999999,20.043
54298.87965960024,3.843,8.469,20.078999999999997,3.4469999999999996,7.263,15.200999999999999,4.689,9.477,19.358999999999998
61963.78459885712,3.7349999999999994,8.325,19.683,3.3569999999999998,7.0649999999999995,14.715,4.545,9.152999999999999,18.747
70710.6781186547,3.699,8.289,19.718999999999998,3.2849999999999997,6.975,14.354999999999999,4.365,8.828999999999999,17.973
80692.29522323608,3.7349999999999994,8.235,19.683,3.3209999999999997,6.849,14.030999999999999,4.238999999999999,8.523,17.360999999999997
92082.93120125121,3.627,8.073,19.448999999999998,3.159,6.669,13.832999999999998,4.131,8.270999999999999,16.659
105081.4851053173,3.5549999999999997,7.946999999999999,19.232999999999997,3.069,6.488999999999999,13.671,4.023,8.055,16.173
119914.93285336452,3.4829999999999997,7.856999999999999,19.358999999999998,2.979,6.308999999999999,13.274999999999999,3.897,7.821,15.524999999999999
136842.29059776882,3.429,7.785,19.323,2.907,6.164999999999999,12.986999999999998,3.8069999999999995,7.658999999999999,15.146999999999998
156159.13756915214,3.393,7.7669999999999995,19.269,2.8529999999999998,6.020999999999999,12.608999999999998,3.7169999999999996,7.497,14.858999999999998
178202.77737106956,3.429,7.892999999999999,19.610999999999997,2.8709999999999996,6.020999999999999,12.572999999999999,3.627,7.317,14.552999999999999
203358.1278501894,3.4109999999999996,7.838999999999999,18.980999999999998,2.7989999999999995,5.895,12.087,3.5729999999999995,7.190999999999999,14.354999999999999
232064.44238869462,3.5009999999999994,7.838999999999999,19.197,2.889,5.805,12.320999999999998,3.5729999999999995,7.136999999999999,14.192999999999998
