 Analysis , $\alpha [^\circ]$ , $\delta [^\circ]$ , n$_s$ , $\gamma$ , p-value$_{\textsf{pre}}$ , p-value$_{\textsf{post}}$
 Hotspot (North) , 337.9 , 17.6 , 213.7 , 3.6 , 3.92$\times10^{-4}$ , 0.28
Hotspot (South) , 248.1 , -50.9 , 90.2 , 2.9 , 1.31$\times10^{-3}$ , 0.46
