,E2_UL,E3_UL,sindec
0,3.3449307915003384e-12,1.577585008081677e-12,-0.6984152854310058
1,1.086457167708958e-12,5.493674529318366e-13,-0.7094477438599044
2,1.0935302514840992e-12,5.895987707503666e-13,-0.6148400643505484
3,1.5160457557781774e-12,1.0170710802417905e-12,-0.5033985178178348
4,2.1524497007445175e-12,6.100090135181816e-13,0.6185044012737029
5,1.079262520945203e-12,5.454280923309824e-13,-0.6957398117854617
6,1.079262520945203e-12,5.454280923309824e-13,-0.6925839429378429
7,2.72969979939104e-12,7.651500759742972e-13,0.6727814096080421
8,1.6096656282271798e-12,8.758380280151738e-13,0.1940357448321688
9,4.243457690034889e-12,1.5936134088447766e-12,0.361837725400541
10,1.699178215091522e-12,7.565338714317069e-13,0.28598774678570743
11,3.5458183768177942e-12,1.2561061528063633e-12,0.40356605602486006
12,3.435292760505242e-12,8.942019681254042e-13,0.6824539213704822
13,1.4442765284973439e-12,9.289725151022545e-13,0.09934406350829773
14,1.0943331250026645e-12,6.480855881472451e-13,-0.41267523440740134
15,4.120750111189983e-12,6.077376839281911e-13,0.9474366690595342
16,2.1086173309809537e-12,6.188931698746979e-13,0.5017779786371864
17,1.0720678741814481e-12,5.414887317301282e-13,-0.6767410614805527
18,1.0879382722193806e-12,7.714022371880676e-13,-0.25132106876570465
19,2.140335726704527e-12,6.085368568542404e-13,0.6395664719936301
20,3.48575005159386e-12,1.5867715395464551e-12,-0.7554156315605121
21,3.7508221472164544e-12,1.310894817540129e-12,0.3867351046692752
22,1.3689511015725285e-12,7.631789419115656e-13,-0.40868889803046987
23,3.2710580749317306e-12,2.424942967331608e-12,0.02729530437361903
24,1.7231367517361855e-12,8.249536275981868e-13,-0.9148208628459473
25,1.0943331250026645e-12,6.480855881472451e-13,-0.40850570443613377
26,1.1444560979573794e-12,6.426738701550448e-13,-0.38277211667033906
27,2.156251485408437e-12,9.095364396244819e-13,0.30414279763285146
28,1.480470176334148e-12,7.669847141846473e-13,-0.8301933028433994
29,1.1190385690369677e-12,5.459606014839917e-13,-0.7485010440106721
30,1.6096656282271798e-12,8.758380280151738e-13,0.18835672397331016
31,2.0662027632570268e-12,1.0966796521009407e-12,-0.6313270786895412
32,1.880796451468767e-12,1.0998298944068431e-12,0.1675534186198148
33,1.8403123495082686e-12,7.369732671202008e-13,0.34392028690789916
34,1.0253345369283647e-12,5.304079982074213e-13,-0.8086547056397002
35,1.9643504542418327e-12,6.293200215190185e-13,0.45538797499723466
36,2.42977650259056e-12,5.655983766278746e-13,0.7596528106893278
37,2.3462167923737658e-12,1.6833611445585162e-12,-0.16493743567213082
38,4.0204719998388376e-12,1.9254079758956092e-12,-0.774409208003571
39,1.380369175356018e-12,8.18397966284726e-13,-0.45434658131167904
40,2.2950993576018866e-12,1.2647363640286827e-12,-0.3315486628331011
41,1.1253300060172664e-12,5.866717496405187e-13,-0.6447241988991385
42,1.32381585012567e-12,9.15857777950444e-13,0.030985106041595732
43,1.7181879814872936e-12,8.874497051851029e-13,-0.6585489349761221
44,1.1905792217250134e-12,5.528766336465742e-13,-0.8843798354574682
45,1.6337346650782e-12,8.641118652820178e-13,0.20577379473652938
46,1.0185177569097671e-12,5.005520330269762e-13,-0.9192363800789299
47,1.2483667148584452e-12,6.54482692387407e-13,-0.6078291312097888
48,2.67574262940221e-12,1.5407603274155546e-12,-0.5548487835419905
49,1.1202641546740619e-12,5.446279728462809e-13,-0.7526999466393582
50,2.2676117246225028e-12,1.663946827134702e-12,-0.20059918637975566
51,4.528253156196684e-12,1.816676351710047e-12,0.34786034536154475
52,7.298023195191098e-12,1.1356543039561417e-12,0.9073956885681839
53,2.1668702297146162e-12,5.857776214932485e-13,0.6740690725063413
54,2.913230546076487e-12,1.6060520084410938e-12,-0.3314910308594174
55,1.6180468379156085e-12,1.0501885735445888e-12,-0.4711873865028723
56,1.1117844484749591e-12,5.718494354997397e-13,-0.6933477495690046
57,9.636608765433729e-13,5.393015494168318e-13,-0.9681397739805339
58,2.6744133495142124e-12,1.2539150403373445e-12,0.27816304428604893
59,1.6320195324528782e-12,8.259952089886714e-13,-0.6705043148110036
60,1.899665550396063e-12,1.6329874747105791e-12,-0.10086008265126516
61,3.09405687055899e-12,1.5954482789215236e-12,0.20331024067295578
62,1.7919320149274732e-12,1.3389351909029592e-12,-0.15826836144842257
63,1.1444560979573794e-12,6.426738701550448e-13,-0.39738654301806886
64,1.7855838001553091e-12,9.89688213718839e-13,0.18219777107966598
65,3.072822732627676e-12,1.681977522762471e-12,-0.3593030481529915
66,1.656550351210717e-12,8.357458652435447e-13,-0.7652855219289693
67,1.1065408147775375e-12,8.106024687107663e-13,-0.20259587606721063
68,3.087632530127623e-12,1.1539430798365147e-12,0.3645745153117544
69,1.1196729255428776e-12,7.487423281675099e-13,-0.2742647019196047
70,1.6649434211927428e-12,1.1835210942238192e-12,0.02760585590743039
71,2.3183234162791836e-12,1.7641961723213732e-12,-0.13216123978665983
72,2.4885559463587474e-12,7.395217236943067e-13,0.48854205425893615
73,2.1524497007445175e-12,6.100090135181816e-13,0.6175864817211242
74,2.0363137380937194e-12,1.2750288595861778e-12,-0.4352593835059262
75,6.594798439538364e-12,1.931250243003256e-12,0.5260580796321969
76,1.1405389836479495e-12,6.885375564814103e-13,-0.3249740033894833
77,2.0636340753970565e-12,6.223962890634245e-13,0.48182096820312925
78,2.2731143370467376e-12,1.5882469681054515e-12,-0.2264099134365249
79,1.0443765075524747e-12,8.358316566039606e-13,-0.13667693312310628
80,1.9675280470855247e-12,1.026391828642702e-12,-0.7773853501395374
81,1.1232832241936906e-12,9.135301462839962e-13,-0.031007784419552854
82,1.4171350289241534e-12,9.382152502114247e-13,0.08714531061639594
83,1.059376167482577e-12,6.068501883269999e-13,-0.5890130150995407
84,2.8078978852287424e-12,1.3901612473894066e-12,-0.6383474084354445
