index,pi0,kra5,kra50
0,0.0,0.0,0.0
1,0.035,0.035,0.035
2,0.07,0.07,0.07
3,0.10500000000000001,0.10500000000000001,0.10500000000000001
4,0.14,0.14,0.14
5,0.17500000000000002,0.17500000000000002,0.17500000000000002
6,0.21000000000000002,0.21000000000000002,0.21000000000000002
7,0.24500000000000002,0.24500000000000002,0.24500000000000002
8,0.28,0.28,0.28
9,0.31500000000000006,0.31500000000000006,0.31500000000000006
10,0.35000000000000003,0.35000000000000003,0.35000000000000003
11,0.385,0.385,0.385
12,0.42000000000000004,0.42000000000000004,0.42000000000000004
13,0.45500000000000007,0.45500000000000007,0.45500000000000007
14,0.49000000000000005,0.49000000000000005,0.49000000000000005
15,0.525,0.525,0.525
16,0.56,0.56,0.56
17,0.5950000000000001,0.5950000000000001,0.5950000000000001
18,0.6300000000000001,0.6300000000000001,0.6300000000000001
19,0.665,0.665,0.665
20,0.7000000000000001,0.7000000000000001,0.7000000000000001
21,0.7350000000000001,0.7350000000000001,0.7350000000000001
22,0.77,0.77,0.77
23,0.805,0.805,0.805
24,0.8400000000000001,0.8400000000000001,0.8400000000000001
25,0.8750000000000001,0.8750000000000001,0.8750000000000001
26,0.9100000000000001,0.9100000000000001,0.9100000000000001
27,0.9450000000000001,0.9450000000000001,0.9450000000000001
28,0.9800000000000001,0.9800000000000001,0.9800000000000001
29,1.0150000000000001,1.0150000000000001,1.0150000000000001
30,1.05,1.05,1.05
31,1.0850000000000002,1.0850000000000002,1.0850000000000002
32,1.12,1.12,1.12
33,1.155,1.155,1.155
34,1.1900000000000002,1.1900000000000002,1.1900000000000002
35,1.225,1.225,1.225
36,1.2600000000000002,1.2600000000000002,1.2600000000000002
37,1.2950000000000002,1.2950000000000002,1.2950000000000002
38,1.33,1.33,1.33
39,1.3650000000000002,1.3650000000000002,1.3650000000000002
40,1.4000000000000001,1.4000000000000001,1.4000000000000001
41,1.435,1.435,1.435
42,1.4700000000000002,1.4700000000000002,1.4700000000000002
43,1.5050000000000001,1.5050000000000001,1.5050000000000001
44,1.54,1.54,1.54
45,1.5750000000000002,1.5750000000000002,1.5750000000000002
46,1.61,1.61,1.61
47,1.6450000000000002,1.6450000000000002,1.6450000000000002
48,1.6800000000000002,1.6800000000000002,1.6800000000000002
49,1.715,1.715,1.715
50,1.7500000000000002,1.7500000000000002,1.7500000000000002
51,1.7850000000000001,1.7850000000000001,1.7850000000000001
52,1.8200000000000003,1.8200000000000003,1.8200000000000003
53,1.8550000000000002,1.8550000000000002,1.8550000000000002
54,1.8900000000000001,1.8900000000000001,1.8900000000000001
55,1.9250000000000003,1.9250000000000003,1.9250000000000003
56,1.9600000000000002,1.9600000000000002,1.9600000000000002
57,1.995,1.995,1.995
58,2.0300000000000002,2.0300000000000002,2.0300000000000002
59,2.0650000000000004,2.0650000000000004,2.0650000000000004
60,2.1,2.1,2.1
61,2.1350000000000002,2.1350000000000002,2.1350000000000002
62,2.1700000000000004,2.1700000000000004,2.1700000000000004
63,2.205,2.205,2.205
64,2.24,2.24,2.24
65,2.2750000000000004,2.2750000000000004,2.2750000000000004
66,2.31,2.31,2.31
67,2.345,2.345,2.345
68,2.3800000000000003,2.3800000000000003,2.3800000000000003
69,2.415,2.415,2.415
70,2.45,2.45,2.45
71,2.4850000000000003,2.4850000000000003,2.4850000000000003
72,2.5200000000000005,2.5200000000000005,2.5200000000000005
73,2.555,2.555,2.555
74,2.5900000000000003,2.5900000000000003,2.5900000000000003
75,2.6250000000000004,2.6250000000000004,2.6250000000000004
76,2.66,2.66,2.66
77,2.6950000000000003,2.6950000000000003,2.6950000000000003
78,2.7300000000000004,2.7300000000000004,2.7300000000000004
79,2.765,2.765,2.765
80,2.8000000000000003,2.8000000000000003,2.8000000000000003
81,2.8350000000000004,2.8350000000000004,2.8350000000000004
82,2.87,2.87,2.87
83,2.9050000000000002,2.9050000000000002,2.9050000000000002
84,2.9400000000000004,2.9400000000000004,2.9400000000000004
85,2.975,2.975,2.975
86,3.0100000000000002,3.0100000000000002,3.0100000000000002
87,3.0450000000000004,3.0450000000000004,3.0450000000000004
88,3.08,3.08,3.08
89,3.115,3.115,3.115
90,3.1500000000000004,3.1500000000000004,3.1500000000000004
91,3.1850000000000005,3.1850000000000005,3.1850000000000005
92,3.22,3.22,3.22
93,3.2550000000000003,3.2550000000000003,3.2550000000000003
94,3.2900000000000005,3.2900000000000005,3.2900000000000005
95,3.325,3.325,3.325
96,3.3600000000000003,3.3600000000000003,3.3600000000000003
97,3.3950000000000005,3.3950000000000005,3.3950000000000005
98,3.43,3.43,3.43
99,3.4650000000000003,3.4650000000000003,3.4650000000000003
100,3.5000000000000004,3.5000000000000004,3.5000000000000004
101,3.535,3.535,3.535
102,3.5700000000000003,3.5700000000000003,3.5700000000000003
103,3.6050000000000004,3.6050000000000004,3.6050000000000004
104,3.6400000000000006,3.6400000000000006,3.6400000000000006
105,3.6750000000000003,3.6750000000000003,3.6750000000000003
106,3.7100000000000004,3.7100000000000004,3.7100000000000004
107,3.7450000000000006,3.7450000000000006,3.7450000000000006
108,3.7800000000000002,3.7800000000000002,3.7800000000000002
109,3.8150000000000004,3.8150000000000004,3.8150000000000004
110,3.8500000000000005,3.8500000000000005,3.8500000000000005
111,3.8850000000000002,3.8850000000000002,3.8850000000000002
112,3.9200000000000004,3.9200000000000004,3.9200000000000004
113,3.9550000000000005,3.9550000000000005,3.9550000000000005
114,3.99,3.99,3.99
115,4.025,4.025,4.025
116,4.0600000000000005,4.0600000000000005,4.0600000000000005
117,4.095000000000001,4.095000000000001,4.095000000000001
118,4.130000000000001,4.130000000000001,4.130000000000001
119,4.165,4.165,4.165
120,4.2,4.2,4.2
121,4.235,4.235,4.235
122,4.2700000000000005,4.2700000000000005,4.2700000000000005
123,4.305000000000001,4.305000000000001,4.305000000000001
124,4.340000000000001,4.340000000000001,4.340000000000001
125,4.375,4.375,4.375
126,4.41,4.41,4.41
127,4.445,4.445,4.445
128,4.48,4.48,4.48
129,4.515000000000001,4.515000000000001,4.515000000000001
130,4.550000000000001,4.550000000000001,4.550000000000001
131,4.585000000000001,4.585000000000001,4.585000000000001
132,4.62,4.62,4.62
133,4.655,4.655,4.655
134,4.69,4.69,4.69
135,4.7250000000000005,4.7250000000000005,4.7250000000000005
136,4.760000000000001,4.760000000000001,4.760000000000001
137,4.795000000000001,4.795000000000001,4.795000000000001
138,4.83,4.83,4.83
139,4.865,4.865,4.865
140,4.9,4.9,4.9
141,4.9350000000000005,4.9350000000000005,4.9350000000000005
142,4.970000000000001,4.970000000000001,4.970000000000001
143,5.005000000000001,5.005000000000001,5.005000000000001
144,5.040000000000001,5.040000000000001,5.040000000000001
145,5.075,5.075,5.075
146,5.11,5.11,5.11
147,5.1450000000000005,5.1450000000000005,5.1450000000000005
148,5.180000000000001,5.180000000000001,5.180000000000001
149,5.215000000000001,5.215000000000001,5.215000000000001
150,5.250000000000001,5.250000000000001,5.250000000000001
151,5.285,5.285,5.285
152,5.32,5.32,5.32
153,5.355,5.355,5.355
154,5.390000000000001,5.390000000000001,5.390000000000001
