n_inj,median_ns
0,9.52706550176783
1,0.5691697657266191
2,0.0
3,5.954121707803031
4,0.0
5,4.883987409060613
6,10.274094664776705
7,11.176952727029937
8,9.84095295499262
9,7.961409660985812
10,8.888660497860773
11,19.162749952446113
12,7.864082894703161
13,9.968520298087213
14,7.874959269002587
15,17.024695962533592
16,9.570398940365902
17,14.514816358341168
18,25.66121080554246
19,27.020389079218127
20,22.406688922130968
21,30.012535400016404
22,25.738502838613833
23,11.033372292616196
24,26.55010362274902
25,26.77264635412309
26,40.89974997782629
27,30.60655223540799
28,32.40175911964007
29,25.755732398706314
30,34.2564854620417
31,29.765218105753767
32,32.48774831423829
33,37.6141838700639
34,34.47982717846568
35,33.79126272831873
36,46.431443817874616
37,35.925437412523664
38,34.94051418765419
39,39.71367289411502
40,45.073763783742265
41,38.980869733345585
42,53.460735025980114
43,55.54284427511991
44,59.23226449886413
45,50.76199407409583
46,41.25463479391662
47,51.41071161203227
48,59.89791567193143
49,57.226003532400895
50,51.64047395790347
51,53.16040694080412
52,64.72243662206164
53,64.7173153050256
54,58.32347227117556
55,57.58005564048301
56,62.38197645254831
57,70.48795978705675
58,66.91412734142244
59,60.93925123659937
60,66.4357013854527
61,69.27589427410877
62,79.5430313847846
63,69.18368976112616
64,76.9172699849952
65,71.95756924322296
66,72.8816039775736
67,67.1420074428699
68,68.95168948946966
69,73.30280248733523
70,82.24834302209922
71,83.05411376308948
72,77.85370450290293
73,88.33888963765284
74,80.94470931032983
75,86.96023722865495
76,84.51410196892502
77,85.75733883437076
78,80.43110951331676
79,85.61594686283439
80,95.18925503236235
81,106.22888994877435
82,104.22857644394065
83,79.66782108011347
84,90.95340562341426
85,93.11157450623026
86,100.00777548461323
87,96.8640115454718
88,102.12247271851953
89,116.26801903823588
90,108.0106662041338
91,96.97457151293418
92,105.44244780371504
93,107.97838305827699
94,103.31628771636417
95,106.59215935022375
96,112.90745803435235
97,122.01854304169233
98,104.99590165837967
99,114.60559896740864
100,116.94309981460827
101,116.24437781804605
102,122.5325742408985
103,118.83456754678298
104,121.20155149763815
105,118.05527519021095
106,126.68992756362132
107,114.35192782265806
108,124.29042396055141
109,129.719439570968
110,127.40881742941127
111,133.24155355779888
112,137.4630325693516
113,122.68367620220113
114,140.5381058284405
115,132.0811125654904
116,135.05911786553267
117,138.75801274662
118,140.0343561485723
119,137.08346160340233
120,130.79550902968668
121,136.59351749415947
122,139.59218486542247
123,140.21725584955894
124,141.14022871975396
125,140.2960181501922
126,150.59454313392771
127,150.15132114061487
