index,pi0,kra5,kra50
179,65659.0,34510.0,34621.0
180,64173.0,34055.0,33750.0
181,62860.0,33235.0,33203.0
182,61515.0,32984.0,32290.0
183,60133.0,32444.0,31863.0
184,58719.0,31403.0,31286.0
185,58091.0,30493.0,30750.0
186,56136.0,30234.0,29574.0
187,55522.0,29446.0,29302.0
188,54465.0,28928.0,28594.0
189,53407.0,28242.0,28333.0
190,52687.0,28080.0,27936.0
191,51514.0,27100.0,26788.0
192,49909.0,26985.0,26341.0
193,49259.0,26500.0,26197.0
194,48418.0,25869.0,25213.0
195,47130.0,25302.0,24818.0
196,46197.0,24745.0,24570.0
197,45650.0,24344.0,24027.0
198,44511.0,23729.0,23642.0
199,43497.0,23283.0,23001.0
200,42799.0,22592.0,22465.0
201,41748.0,22563.0,22202.0
202,41298.0,21780.0,21528.0
203,40363.0,21572.0,21274.0
204,39396.0,20936.0,20778.0
205,38482.0,20665.0,20466.0
206,37689.0,20128.0,19975.0
207,37413.0,19979.0,19505.0
208,36346.0,19464.0,19235.0
209,35542.0,18879.0,18775.0
210,35267.0,18477.0,18424.0
211,33923.0,18299.0,18201.0
212,33416.0,18112.0,17580.0
213,32971.0,17512.0,17255.0
214,32270.0,17044.0,17074.0
215,31429.0,16900.0,16719.0
216,31205.0,16539.0,16662.0
217,30577.0,16256.0,16267.0
218,30079.0,16147.0,15547.0
219,29492.0,15697.0,15487.0
220,28390.0,15315.0,15138.0
221,28628.0,14980.0,14924.0
222,27748.0,14815.0,14660.0
223,26773.0,14529.0,13957.0
224,26417.0,14062.0,14116.0
225,26211.0,14086.0,13719.0
226,25480.0,13693.0,13648.0
227,24836.0,13204.0,13097.0
228,24369.0,13170.0,13055.0
229,23957.0,12878.0,12631.0
230,23737.0,12410.0,12232.0
231,23154.0,12322.0,12013.0
232,22788.0,12022.0,11982.0
233,22036.0,11659.0,11785.0
234,21934.0,11501.0,11460.0
235,21201.0,11437.0,11202.0
236,21294.0,11228.0,10943.0
237,20610.0,10980.0,10825.0
238,20368.0,10749.0,10769.0
239,19586.0,10405.0,10541.0
240,19624.0,10324.0,10156.0
241,18854.0,10018.0,10006.0
242,18626.0,9856.0,9735.0
243,18196.0,9662.0,9442.0
244,17865.0,9579.0,9401.0
245,17419.0,9212.0,9210.0
246,17437.0,9238.0,9016.0
247,16988.0,9128.0,8785.0
248,16535.0,8764.0,8736.0
249,16598.0,8505.0,8361.0
250,15882.0,8531.0,8434.0
251,15609.0,8320.0,8199.0
252,15479.0,7996.0,8134.0
253,15218.0,7754.0,8172.0
254,14687.0,7960.0,7741.0
255,14381.0,7715.0,7740.0
256,13930.0,7424.0,7531.0
257,13832.0,7500.0,7354.0
258,13910.0,7273.0,7178.0
259,13236.0,7218.0,6955.0
260,13129.0,6919.0,6807.0
261,12705.0,6850.0,6783.0
262,12632.0,6648.0,6701.0
263,12453.0,6649.0,6613.0
264,11906.0,6368.0,6512.0
265,11726.0,6343.0,6187.0
266,11613.0,6217.0,6157.0
267,11286.0,6173.0,5937.0
268,11294.0,6006.0,5879.0
269,10808.0,5846.0,5701.0
270,10816.0,5700.0,5601.0
271,10512.0,5554.0,5427.0
272,10673.0,5472.0,5451.0
273,10290.0,5484.0,5522.0
274,10121.0,5149.0,5421.0
275,9736.0,5269.0,5234.0
276,9606.0,5097.0,4916.0
277,9461.0,4944.0,4954.0
278,9217.0,4881.0,4830.0
279,9085.0,4814.0,4821.0
280,8990.0,4634.0,4768.0
281,8889.0,4663.0,4614.0
282,8533.0,4584.0,4572.0
283,8250.0,4351.0,4406.0
284,8119.0,4354.0,4293.0
285,8141.0,4332.0,4273.0
286,7767.0,4303.0,4212.0
287,7689.0,3984.0,4199.0
288,7573.0,4069.0,4013.0
289,7466.0,3933.0,4071.0
290,7293.0,3914.0,3804.0
291,7233.0,3719.0,3673.0
292,7037.0,3669.0,3691.0
293,6922.0,3692.0,3571.0
294,6774.0,3566.0,3557.0
295,6800.0,3601.0,3469.0
296,6470.0,3406.0,3368.0
297,6273.0,3289.0,3297.0
298,6306.0,3168.0,3276.0
299,6086.0,3469.0,3222.0
300,6044.0,3274.0,3184.0
301,6002.0,3098.0,3132.0
302,5764.0,3029.0,3059.0
303,5745.0,3063.0,3098.0
304,5661.0,2957.0,2911.0
305,5495.0,2933.0,2857.0
306,5369.0,2885.0,2740.0
307,5253.0,2781.0,2790.0
308,5328.0,2754.0,2659.0
309,4970.0,2686.0,2630.0
310,4940.0,2612.0,2638.0
311,4848.0,2608.0,2661.0
312,4873.0,2534.0,2490.0
313,4716.0,2469.0,2537.0
314,4615.0,2503.0,2517.0
315,4579.0,2390.0,2272.0
316,4433.0,2410.0,2348.0
317,4433.0,2267.0,2374.0
318,4367.0,2291.0,2294.0
319,4249.0,2240.0,2275.0
320,4283.0,2256.0,2182.0
321,4098.0,2057.0,2017.0
322,3964.0,2127.0,2074.0
323,3901.0,2084.0,2086.0
324,3831.0,2035.0,1987.0
325,3816.0,1992.0,1999.0
326,3608.0,1978.0,1934.0
327,3606.0,1941.0,1937.0
328,3567.0,1900.0,1845.0
329,3529.0,1868.0,1857.0
330,3548.0,1903.0,1747.0
331,3274.0,1810.0,1773.0
332,3471.0,1765.0,1744.0
333,3151.0,1738.0,1640.0
334,3030.0,1718.0,1682.0
335,3112.0,1619.0,1629.0
336,2988.0,1562.0,1670.0
337,2955.0,1605.0,1524.0
338,2938.0,1562.0,1547.0
339,2858.0,1544.0,1564.0
340,2857.0,1470.0,1516.0
341,2770.0,1435.0,1372.0
342,2755.0,1473.0,1463.0
343,2779.0,1445.0,1436.0
344,2504.0,1430.0,1454.0
345,2624.0,1387.0,1366.0
346,2496.0,1284.0,1355.0
347,2366.0,1302.0,1260.0
348,2449.0,1289.0,1272.0
