n_inj,median_ns
0,27.35032653682856
1,29.86762189393628
2,0.0
3,19.855303248786974
4,23.456050189163072
5,0.0
6,17.99937808363149
7,1.5236819151582481
8,7.883270579107986
9,15.832630862266662
10,6.189913913810497
11,26.076136651625674
12,2.3420059546178504
13,16.254214327893674
14,0.0
15,31.029623267940373
16,0.0
17,3.489477753342636
18,45.14697928923022
19,18.191697457361137
20,49.26451933862505
21,52.559924173398095
22,29.721247901201743
23,18.343107578040673
24,17.004182539446802
25,5.999942380502122
26,63.89714941007762
27,37.443382364620845
28,51.8953914577813
29,36.75112561669644
30,49.674400945195515
31,0.0
32,26.62657970909219
33,17.66738023665835
34,40.053938500899065
35,49.58560917187795
36,62.45255134420114
37,12.016669333955818
38,16.090945269985085
39,35.360859654210444
40,79.97288115118187
41,28.43230761263362
42,74.7131398413876
43,62.452498545475365
44,72.7573415531531
45,67.17111264887933
46,19.74817294884223
47,40.3118271409532
48,91.2555778575916
49,64.47081657523648
50,48.31928879983853
51,66.21530580820004
52,55.18103769437327
53,31.727849039559796
54,62.308055414553
55,43.08167603257785
56,81.53928675835314
57,95.87400304258546
58,68.39351265284569
59,67.44845095359977
60,63.255919110307616
61,78.18216269097792
62,49.92299173010228
63,70.47385459412328
64,55.50318322682662
65,58.46754540121037
66,75.45383555316357
67,52.87801001521431
68,57.71753743295585
69,70.76946023056666
70,79.78013466687432
71,96.52589573642867
72,51.0698948192494
73,76.62141364587552
74,81.08307571809266
75,93.722525309083
76,84.82559794496397
77,86.1517269169023
78,76.22311204423357
79,84.49671917992652
80,81.35972880392958
81,115.57971985406144
82,105.6341482877651
83,68.37432213882491
84,75.16093867935129
85,101.60158675777117
86,98.59214847404914
87,114.81873793959599
88,114.0937909780447
89,135.8961742261908
90,111.02910833269286
91,83.42064727903625
92,112.8291201920928
93,104.56584002452709
94,63.86408908637655
95,116.85881592985002
96,132.44985033548033
97,138.6849559518409
98,117.21882976174568
99,115.47491290459018
100,128.13824868831742
101,142.31256349753704
102,110.21281486497074
103,117.46287329475948
104,130.18342393496778
105,107.68000212954581
106,91.18627007291846
107,126.73070676882271
108,83.94646577970799
109,101.43898647208208
110,116.73890720522365
111,108.78480038427023
112,161.2663149228058
113,130.712012859293
114,149.35592692101602
115,133.23399188836368
116,150.96619343215366
117,145.51284925767533
118,142.87356635168697
119,140.07139791046066
120,111.25942268695604
121,99.87859932662693
122,110.05050315921466
123,151.25511764137468
124,143.91236767357105
125,137.96719052656576
126,143.73408260952158
127,150.18553138689055
128,92.68001278054419
129,137.12136482297518
130,147.94183927234235
131,152.1284673904478
132,145.6721287217477
133,123.8933564134489
134,131.604097007113
135,129.8945338625214
136,165.11541844208648
137,188.96748732586968
138,153.68478795718477
139,153.21589681923743
140,184.80542343313442
141,112.59274669224344
142,153.78660999356637
143,170.23977649458283
144,179.38475482803915
145,195.7438050746378
146,188.6307043359219
147,164.3849345083081
148,171.95893598343042
149,185.5394285371346
150,170.29073906804615
151,199.17325778362655
152,181.7256464983193
153,133.7982265686581
154,150.33551976001053
155,182.41028568355122
156,151.67218024303511
157,175.67394951827237
158,190.04443494945255
159,170.98595226037625
160,178.92251652020576
161,164.5266325767327
162,205.04704599855503
163,193.88806222432854
164,167.08319519303757
165,199.86746220665813
166,206.7783037509293
167,198.4812063729854
168,194.301111464435
169,146.61086492729237
170,194.32120520228688
171,189.46218767265208
172,163.721626938935
173,212.15590010476546
174,216.35387601721936
175,180.7689097267707
176,214.77418006014375
177,230.40593183675796
178,213.8706252560085
179,182.86281140605251
180,194.71826742416437
181,200.6231986203933
182,153.6974154362082
183,199.4711941085049
184,188.66174283190134
185,196.01171447293024
186,163.56005323806602
187,189.5250260215861
188,211.6665211636646
189,217.7967535116807
190,177.32714391896332
191,196.15852708976956
192,219.19544417406942
193,250.86074104297296
194,205.27711886150234
195,203.44801278619093
196,210.69746662878674
197,221.53733506528067
198,207.6598541416161
199,241.21920208580883
200,239.59044418617248
201,232.17899962807036
202,216.4921071123274
203,227.33437615216056
204,225.53139264869912
205,218.53821775734144
206,256.82814640494104
207,199.14304406568223
208,236.73025939242498
209,291.51830115030987
210,197.15728260347848
211,257.23509624508404
212,237.05833126002233
213,247.4203328017816
214,280.9167748376283
215,252.24900832066857
216,251.59342103072296
217,245.58329452447504
218,229.2153747037636
219,204.44383748226053
220,238.8382283963681
221,250.88095850305962
222,269.9146864156302
223,250.83595535967203
224,238.48036715670747
225,252.80904537720716
226,250.3529698905781
227,265.2114135904972
228,281.45392794853
229,269.1487826416949
230,212.44710647002262
231,210.31041251073398
232,300.0161583674329
233,258.09200735502964
