n_inj,median_ns
0,14.14212870778606
1,5.82530033235619
2,0.0
3,2.33699760529377
4,0.0
5,6.792231964595544
6,9.380887934023788
7,9.12768141913715
8,15.634903424656438
9,4.440039348438647
10,10.369944994324591
11,24.14965960117837
12,3.4618190379143927
13,14.160278178475423
14,6.739330572293239
15,16.631399571852548
16,9.862304904817357
17,16.663006152531302
18,17.273060070631665
19,22.087767785948778
20,31.005375176655175
21,41.597534399937075
22,19.56756423002305
23,14.052087977834358
24,32.00776299910185
25,27.756489378132024
26,42.7775913647267
27,26.435527173855867
28,33.15327768094893
29,26.819794021953413
30,35.294421409736856
31,24.431008536024684
32,39.873995945104205
33,35.06786289274816
34,39.156119458454995
35,32.659799364068604
36,48.29594241034479
37,33.649038335223935
38,31.427188240512905
39,35.53798275303488
40,59.8347488655972
41,35.72090633769622
42,67.8784708101201
43,48.1606052563113
44,52.50649637197872
45,55.604913887482155
46,45.48826996975022
47,51.22214284944302
48,65.50085192562281
49,56.24034975270979
50,48.72458182256412
51,65.05995694202163
52,58.782243052295854
53,64.8646431707123
54,62.69707489523621
55,56.429878886212734
56,70.35358104914849
57,78.92903590636345
58,70.24680082670588
59,70.01369286039699
60,63.85859458792315
61,69.08820660185475
62,72.40716760141854
63,66.04433093024008
64,71.67301150147165
65,68.08014579514426
66,73.79163742834132
67,72.94076461416964
68,71.41510874674884
69,62.77372355482767
70,88.7821041967575
71,80.59242441681742
72,75.1080688701615
73,92.73156058638506
74,85.29852769853542
75,92.34306441903144
76,86.8671342993872
77,86.51879777033348
78,77.41994086070491
79,88.4148409440421
80,87.96959032624478
81,105.8103187174937
82,109.84300878919049
83,78.77122983660556
84,87.14189562023398
85,100.98298875486469
86,103.3822570432796
87,101.20107310199435
88,98.2831317867543
89,111.97894871630683
90,104.65551533448206
91,90.84850648520165
92,110.99266826537823
93,112.7337308667561
94,99.05090517288532
95,103.01266918056368
96,111.56505826999616
97,125.9767468838696
98,112.74800839978177
99,114.01423789694438
100,117.07514986166143
101,115.09413474160425
102,127.90413523375386
103,115.2022006155313
104,123.19233639337718
105,124.95491189983593
106,127.61652734488865
107,118.55835913029688
108,115.66444256869298
109,123.05669672100464
110,120.60759296265326
111,121.80865128153764
112,141.8015326262271
113,121.39452896197368
114,140.72887844724852
115,124.43401809246211
116,134.64837843869415
117,133.41794101984007
118,142.10796528895003
119,138.70926239000272
120,128.88351349715964
121,139.71350481522697
122,135.59909307340496
123,141.64288811718222
124,142.4289309388002
125,140.99707686058474
126,146.0526448900881
127,151.57737711090272
128,138.20953957872314
129,145.72199022651742
130,135.45481277149696
131,157.71421082662675
132,148.56543162454545
133,139.8449241314957
134,157.5354552163194
135,141.37828291179898
136,151.3374819082241
137,163.15229753914815
138,159.82218227807934
139,151.66081576513295
140,161.0964438286317
141,154.14934358618027
142,165.5194965916188
143,164.91754474240008
144,181.8282575227727
145,167.44347760758646
146,161.2841776150193
147,179.62695118114047
148,159.65499701449204
149,177.15052229743065
150,170.93516719093464
151,178.3002092261047
152,171.3682944316726
153,178.05176841292683
154,165.7097379984475
155,175.98566492327592
156,160.8587996794421
157,176.18573072097576
158,181.09237667742724
159,178.33458267578027
160,184.10540095814122
161,178.27172145529408
162,188.8994566755121
163,187.45715124099502
164,178.05222230085934
165,186.097667453376
166,192.8883520520597
167,198.5103587635562
168,194.49719101716448
169,176.4271805422517
170,198.69604794556938
171,192.4585162376194
172,205.97936337262587
173,212.3040101613389
174,209.74765783090467
175,194.23114453149958
176,198.05317253914382
177,201.6103076591362
178,200.4142990077403
179,198.87265241988985
180,206.0853623095871
181,206.1090364718313
182,195.78369790580956
183,218.89743112507074
184,218.424223824033
185,204.2279644493959
186,196.81020731109504
187,214.12908955521675
188,198.7405410776896
189,219.69438097095252
190,222.6158261601338
191,225.22597729691455
192,220.18544166162422
193,221.53987236849702
194,227.22405222687559
195,224.02459172062996
196,221.59781748776174
197,236.7057241777748
198,220.41346850748846
199,234.47903555356652
200,233.96150703262975
201,228.0855956516624
202,223.00204567520552
203,235.3868364398802
204,217.85641844445672
205,227.76930569414844
206,234.7353804261362
207,228.67531117554637
208,231.16322968949424
209,252.70414213131335
210,223.338400168387
211,244.5991697003318
212,252.24415114200843
213,243.63403088445924
214,259.2263769606195
215,248.54369855195853
216,247.39869894903234
217,252.70844840487825
218,234.29533418691483
219,227.2371728705528
220,255.79265919661736
221,248.49967489886194
222,255.55166125993912
223,262.6300163363999
224,257.21146565233903
225,262.59902041438124
226,254.66543738686147
227,273.2276366101405
228,245.30365847040883
229,254.21099833913973
230,241.75404729583892
231,243.20826523045548
232,266.88895641199133
233,272.2775872575399
234,265.8228434755689
235,276.7520778379511
236,273.00358952725975
237,259.12951725542723
238,267.1900981512811
239,286.8321685765479
240,281.7046298530408
241,285.95502220703634
242,270.8916730162865
243,283.34796368558193
244,274.15954863273316
245,283.70738367559414
246,278.0213980573186
247,285.53025943124373
248,283.2229910701474
249,279.63617026832264
250,273.4686219288857
251,301.15851795640447
252,297.41458447999383
253,290.64384744334563
254,285.9338103194541
255,286.97150978272225
256,285.1422259130586
257,290.4664750210563
258,289.40829599055303
259,308.31384220558084
260,290.35835346977416
261,289.67589840681495
262,297.2838712966477
263,288.8661921509458
264,275.96533601814554
265,311.4908597399841
266,323.18371475200877
267,309.0519641023269
268,300.5429436179147
269,301.2003625424408
270,301.78688785591993
271,314.8183929275491
272,313.8718707336268
273,312.0317416494389
274,304.52104170826215
275,302.8930710286078
276,313.9941104421799
277,308.39093023525845
278,314.7647898685906
279,319.2994005078186
280,325.9048886871723
281,321.0812743794178
282,327.8435631236425
283,331.8750155443381
284,326.0710897327822
285,321.6933871616362
286,331.32846148480735
287,332.5548252645924
288,320.07672866703604
289,329.2452378241236
290,330.0546820609023
291,327.2168271498282
292,335.99677090571157
293,323.1908853059075
294,339.01426240080224
295,344.4041433064307
296,333.27832523292125
297,328.4098224737529
298,335.37099073515594
299,326.1538383398737
300,346.76711567882774
301,345.9699004275372
302,340.0969514750059
303,337.84089091047747
304,346.06757245530355
305,343.8566465552352
306,339.0563602149424
307,331.55220688759186
308,333.0264129680759
309,352.78008807795993
310,354.9147939220968
311,357.5760620269367
312,356.55272206566656
313,350.9620093663784
314,355.16973354885675
315,351.4519887820379
316,349.3943921694477
317,362.2549553775523
318,343.18725482818587
319,351.41344381238025
320,353.70919831446594
321,344.95327787469273
322,356.8484366076724
323,363.10278693407327
324,368.7413291261893
325,377.33839956295515
326,365.2297320479331
327,356.4916759372995
328,351.0619926446975
329,386.5369903072533
330,365.2907887592765
331,360.99653771185154
332,387.0674337110096
333,377.06432890372935
334,381.48028980823227
335,382.43478724870357
336,365.24641754164577
337,395.05428482768446
338,372.68110823735094
339,389.8002098400733
340,378.5415716930662
341,376.58584240831533
342,394.62890659622894
343,384.2705903912396
344,404.82141149389315
345,401.51572772815723
346,380.9534813215181
347,369.08097676032696
348,400.6195558624006
349,392.8842425648295
350,390.28178910476424
351,392.1768213543992
352,388.64762744245667
353,395.4929384685256
354,402.1337702645661
355,405.8900885830758
356,389.3670080625383
357,402.31741250217885
358,403.014612986161
359,415.86042896909987
360,414.3583990768362
361,413.57071663640846
362,408.513323434067
363,394.57852932910373
364,410.91890469957434
365,400.02197673604985
366,416.9834294296604
367,414.13677147035935
368,410.54819920403145
369,421.5973138886342
370,421.5727261369623
371,409.2424974788323
372,419.86813899745397
373,414.64428930082227
374,413.76000829312375
375,430.8164023876358
376,418.6245798614859
377,424.4163649491331
378,411.37775146741933
379,425.3891638919339
380,412.0394223759355
381,413.79448047284654
382,435.671422619796
383,428.28244549021247
384,429.37818291059557
385,434.5262343755776
386,434.2838040958652
387,437.26072937935635
388,437.1737611029374
389,427.78589083361146
390,419.7648033474801
391,437.1119015840155
392,442.1823909290534
393,439.7822525267747
394,439.06103335048454
395,441.6376549693067
396,448.12792149311
397,419.52973675724
398,451.73660664153306
399,446.4762712335653
400,442.05921284767953
401,456.47686770075296
402,451.90741256043054
403,457.58928928785474
404,439.9221754675346
405,447.5019360875583
406,441.5003425736903
407,452.94975931496515
408,445.8498631822048
409,457.20859429245706
410,468.5886398400342
411,456.4039868872296
412,456.00594790639235
413,462.6048059139091
414,454.8058949098321
415,460.10964794115006
416,459.1304204936064
417,465.20857166622875
418,474.1603353947445
419,475.28840398594843
420,472.3337328876881
421,478.9993030784928
422,483.35896028211727
423,471.944849092856
424,469.74484405132387
425,461.4235587355945
426,492.183085151536
427,490.02623142429553
428,474.3690999873784
429,472.47020818886966
430,478.3802668558627
431,464.09359306840776
432,478.98821285202825
433,477.0652976909656
434,483.1569893552663
435,484.65723297610464
436,491.2824274053376
437,490.83212941624055
438,503.5228709461595
439,480.4159277275437
440,486.31496369875583
441,482.36193493831354
442,499.6697500037718
443,512.911918928301
444,494.937095608174
445,501.48548257356344
446,480.4098097918247
447,514.468598602497
448,505.18540379382233
449,503.4971154406011
450,499.2653943293137
451,494.13550549335537
452,511.8196809305898
453,501.8548004237721
454,517.5945813697672
455,506.7306951573281
456,509.31360342773576
457,513.0255001894681
458,511.22195460024716
459,516.7979874030033
460,513.4574883232715
461,535.3750266359351
462,510.34315852808214
463,519.2714276243064
464,521.202147730361
465,498.5921302675431
466,511.2684452387237
467,525.9044703758559
468,509.2478306467958
469,536.8731812515077
470,519.8705333705909
471,525.5555188553994
472,544.4661512881705
473,530.4692504686075
474,511.4969255215094
475,532.0205165146656
476,536.4738108033366
477,513.546818044875
478,536.334359924175
479,539.8561720781372
480,541.3878125691066
481,539.0137316815274
482,541.7247316417915
483,539.3360080691089
484,539.527257469966
485,552.6864500916995
486,531.1651130868361
487,553.231925262403
488,538.2276424174513
489,534.578375828648
490,571.5906806811277
491,564.4740902460928
492,549.5123434795593
493,555.6589721345422
494,524.7535591999354
495,535.3000665991292
496,556.349387470377
497,548.6656393194596
498,552.3940946707133
499,556.530406035939
500,552.9075754867408
501,544.0092815798471
502,559.1102325853196
503,573.3965884255856
504,569.9430245753307
505,556.421792601858
506,580.8117115305405
507,559.9412467346306
508,545.0614057131077
509,573.7257795230785
510,572.2423116988475
511,568.8550707279082
512,577.1587670234439
513,554.9814668691363
514,575.1695210611813
515,573.587570666973
516,571.4090339060401
517,574.8384608374381
518,589.6704013200625
519,574.1392031024293
520,596.1849824714432
521,577.6313765327689
522,563.4069543613359
523,587.9998625529438
524,575.1516266711602
525,578.0327152818879
526,575.5283847783917
527,587.1615900840045
528,574.0894887512827
529,590.4826044584499
530,596.0154270313059
531,583.6159110858389
532,585.5208769826011
533,595.3520621184521
534,591.261028443646
535,604.814129796051
536,600.266579538282
537,601.9830780455084
538,593.1783637711501
539,602.4578958981567
540,606.571807541715
541,610.4613399821084
542,601.7995153499558
543,584.9475236107279
544,588.8304667586146
545,588.0777511676242
546,601.7943064239203
547,600.4956109302009
548,598.5107950355891
549,604.9260381348945
550,602.6729808371817
551,632.4076600873432
552,619.3981467783778
553,609.5728580553176
554,619.5449386919886
555,616.8556180112228
556,591.3523077479814
557,616.0299565664429
558,625.7532364835386
559,621.2112275975593
560,625.5859511519344
561,628.1113611488818
562,622.872353842574
563,628.0197971004275
564,605.9754199974782
565,616.1284508446936
566,632.5387066474707
567,641.789237965836
568,634.3386590880958
569,628.0509490898471
570,648.6923568710658
571,637.341016137728
572,612.534707977141
573,626.0248877339731
574,631.8619745839362
575,644.4706428776192
576,650.3394794553474
577,638.8840641353913
578,637.8416184758607
579,637.344654282961
580,651.4999954004584
581,634.4994674857853
582,652.5269173563908
583,642.128867878809
584,661.66651738225
585,660.9207363267936
586,653.722273382272
587,643.7726245219296
588,640.8126215732784
589,653.1344389553469
590,648.1618502382646
591,646.9318538997024
592,660.4004740929645
593,655.3852078967554
594,641.155271207077
595,667.5085073947105
596,660.880526108915
597,672.1864656455461
598,667.0915554115859
599,657.5817948954434
600,662.373195503457
601,654.6583965002787
602,663.9466686351969
603,666.467046372645
604,671.1566544732607
605,666.3811208205245
606,661.7973696788781
607,665.0756969123984
608,671.8069138402681
609,671.8889055447983
610,668.3030079107382
611,692.3107386782068
612,684.9348556704774
613,677.868782176339
614,703.4227387550766
615,655.8291097979884
616,673.4498067710708
617,688.752264960003
618,692.5353837600485
619,673.486788300315
620,693.1780805913841
621,685.8537059293876
622,696.513622312909
623,691.4534326544745
624,684.8683860885401
625,715.9089658759558
626,677.7235030070764
627,703.0439500368477
628,693.0560925372978
629,687.8445719967713
630,702.2531015160516
631,719.6733432233436
632,702.6346320047687
633,688.1005178201376
634,724.1446803987789
635,706.6818789931251
636,686.9261217641277
637,707.9019614950436
638,713.0033423682221
639,710.9890249534075
640,712.3355372554337
641,692.113452710824
642,706.3402508121367
643,689.76196972803
644,717.5104156956953
645,730.0178535523011
646,720.9107610724102
647,718.7398843858105
648,710.4585791833797
649,721.2912637994007
650,693.1628002455884
651,704.4132227909997
652,722.7513297520527
653,719.3479899162265
654,717.6533116882995
655,740.602487711684
656,731.2280068792395
657,740.0374903453093
658,729.9919092216094
659,722.7683469376532
660,731.3814232109239
661,725.0444073583649
662,730.8461099966526
663,743.3326544975994
664,713.9617452561034
665,735.7718745995406
666,733.9500588122027
667,737.8332973894262
668,730.1540698229387
669,730.7874326898386
670,730.1316469107853
671,744.4528297490367
672,733.7339589452904
673,755.3012512615312
674,743.2753158544172
675,750.1012917978867
676,753.9768609821506
677,739.6260615640451
678,743.0401874459711
679,762.9900456095575
680,735.3115162030629
681,740.0281330501175
682,765.975018327463
683,765.8610804150846
684,751.089122295685
685,752.9326937624016
686,757.2963959402621
687,761.452743883107
688,759.5568697617234
689,772.0847157925953
690,738.88171747265
691,754.7405704963179
692,787.968880401842
693,763.7840143866263
694,766.493675918603
695,770.1459430212678
696,758.268120908323
697,758.3839001980961
698,773.7396685832333
699,759.5410016373709
700,804.262594691188
701,773.2838703291546
702,773.71008689025
703,785.5132488772763
704,779.7734543482072
705,772.0082387079979
706,783.5463456090201
707,768.6683306261993
708,792.4030961578585
709,775.6841057871114
710,768.7148199683751
711,786.6942824223463
712,783.9358889804332
713,776.2048908881683
714,788.7124018124232
715,791.7754102217195
716,794.7289448959982
717,785.259391595546
718,780.3703373864191
719,796.2284337947139
720,785.1988580590436
721,791.0317642606697
722,801.640730826557
723,801.8024308630969
724,785.2887080630027
725,788.3266829837308
726,798.6267126501009
727,802.0537754808984
