TibetBestFit_x,TibetBestFit_y,LHAASO-KM2A_x,LHAASO-KM2A_y,LHAASO-KM2AYUpper_x,LHAASO-KM2AYUpper_y,LHAASO-KM2AYLower_x,LHAASO-KM2AYLower_y
119.3620374025,4.51608289229179E-11,12.5187502586,1.3705811732281E-10,12.5187502586,1.52940959163772E-10,12.5187502586,1.10069417125221E-10
216.5462305129,1.87849275240731E-11,19.820632838,1E-10,19.820632838,1.19503590078972E-10,19.820632838,8.03085722139152E-11
533.6699231206,1.93069772888325E-11,31.1156276753,8.03085722139152E-11,31.3815259495,9.3376608332046E-11,31.3815259495,6.90694049210209E-11
,,49.2646165899,5.47135933267091E-11,49.685606861,6.27507683105507E-11,49.685606861,4.90316141230327E-11
,,79.3382526266,2.43727628013851E-11,79.3382526266,2.87298483335367E-11,79.3382526266,1.95734178148767E-11
,,125.6143259374,1.77827941003892E-11,125.6143259374,2.03950046900506E-11,125.6143259374,1.46779926762207E-11
,,198.8821074114,1.59360598590769E-11,198.8821074114,1.85292202164096E-11,198.8821074114,1.31536905043638E-11
,,317.5760522534,3.99199948134729E-12,317.5760522534,5.10896977450696E-12,314.8852040022,2.91263265490874E-12
,,498.5500857268,9.3376608332046E-12,498.5500857268,1.14689539646664E-11,502.8104403235,7.29617493318348E-12
