TibetBestFit_x,TibetBestFit_y,TibetYUpper_x,TibetYUpper_y,TibetYLower_x,TibetYLower_y,TibetXLower_x,TibetXLower_y,TibetXUpper_x,TibetXUpper_y
121.0609942457,8.90749186922306E-05,121.0609942457,0.000110251,121.0609942457,6.73638324585809E-05,99.2836105674,8.88077414947706E-05,159.24349378,8.90749186922306E-05
222.0498750308,6.00968405697731E-05,222.0498750308,7.59645818489404E-05,222.0498750308,4.43696619921188E-05,157.3966274424,6.02776413104449E-05,400.2187373004,6.02776413104449E-05
535.7402683135,8.69598058970283E-05,538.8742461637,0.0001269695,535.7402683135,5.71048882259824E-05,402.5599401781,8.69598058970283E-05,994.1842129728,8.72214235988208E-05
