TibetBestFit_x,TibetBestFit_y,TibetYUpper_x,TibetYUpper_y,TibetYLower_x,TibetYLower_y,TibetXLower_x,TibetXLower_y,TibetXUpper_x,TibetXUpper_y,ARGO-YBJBestFit_x,ARGO-YBJBestFit_y,ARGO-YBJYUpper_x,ARGO-YBJYUpper_y,ARGO-YBJYLower_x,ARGO-YBJYLower_y
121.0348180041,0.0001663962,121.0348180041,0.0002000568,121.0348180041,0.0001324344,100.3903682666,0.0001663962,158.9840799396,0.0001663962,0.390158323,7.88321493128237E-05,0.390158323,9.1303119360771E-05,0.390158323,6.51870961077816E-05
220.5391099895,0.0001033145,222.2643001288,0.0001303297,220.5391099895,7.65086505236768E-05,157.7500636497,0.0001033145,395.6331958436,0.0001033145,0.7514713173,9.3700370086462E-05,0.7514713173,0.000117298,0.7514713173,7.04577397890723E-05
540.3268068066,0.0002000568,536.1328517784,0.0002950324,536.1328517784,0.0001298088,404.9906608789,0.0002000568,984.5364750541,0.0002000568,1.6556864791,6.13618375235849E-05,1.6556864791,8.37464962104969E-05,1.6556864791,3.88193106382878E-05
